epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/distill_feat_loss,train/distill_cls_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/distill_feat_loss,val/distill_cls_loss,old/metrics/precision(B),old/metrics/recall(B),old/metrics/mAP50(B),old/metrics/mAP50-95(B),new/metrics/precision(B),new/metrics/recall(B),new/metrics/mAP50(B),new/metrics/mAP50-95(B),joint/metrics/precision(B),joint/metrics/recall(B),joint/metrics/mAP50(B),joint/metrics/mAP50-95(B),lr/pg0,lr/pg1,lr/pg2
50,2513.22,0.97784,0.55926,0.94821,0.0657,0.00291,0.86504,0.76955,0.85792,0.60228,1.02397,0.55249,1.00155,0.05445,0.00271,0.94354,0.93345,0.97542,0.6916,0.76873,0.64706,0.71679,0.52441,0.81475,0.80732,0.83741,0.60213,0.000858338,0.000858338,0.000858338
51,2562.64,0.96063,0.55512,0.95093,0.05609,0.00299,0.93807,0.80772,0.87971,0.61376,1.00438,0.54129,1.00115,0.05188,0.00275,0.97148,0.90785,0.97654,0.69798,0.92604,0.76471,0.73744,0.54138,0.93793,0.84441,0.85247,0.61622,0.000841835,0.000841835,0.000841835
52,2612.21,0.95911,0.55297,0.9529,0.06576,0.00295,0.9185,0.80026,0.87974,0.62909,0.96279,0.53103,0.97919,0.05285,0.00276,0.95995,0.92833,0.9812,0.71548,0.80352,0.76471,0.71029,0.51492,0.85983,0.83587,0.83852,0.61018,0.000825332,0.000825332,0.000825332
53,2662.55,0.95412,0.54634,0.94244,0.05499,0.00298,0.91829,0.80194,0.89798,0.63366,0.99804,0.5515,1.01582,0.04858,0.00279,0.95549,0.91574,0.97047,0.70977,0.8508,0.76471,0.73334,0.51594,0.89339,0.80206,0.84904,0.61053,0.000808828,0.000808828,0.000808828
54,2712.01,0.95606,0.56129,0.95235,0.0518,0.00285,0.83896,0.87265,0.90734,0.61361,0.99278,0.53551,0.9903,0.05031,0.00287,0.95272,0.92841,0.98134,0.70371,0.92856,0.76462,0.77739,0.53697,0.88529,0.85932,0.87425,0.61667,0.000792325,0.000792325,0.000792325
55,2761.74,0.93928,0.5434,0.94072,0.05925,0.00306,0.92128,0.82365,0.867,0.61775,0.94893,0.52588,0.97148,0.05446,0.00272,0.94531,0.9198,0.97837,0.70847,0.89128,0.76471,0.72667,0.52394,0.90449,0.8559,0.84856,0.61249,0.000775822,0.000775822,0.000775822
56,2811.56,0.94346,0.54289,0.94524,0.05746,0.00284,0.85178,0.8353,0.88014,0.62672,0.98606,0.5385,0.99723,0.05875,0.00274,0.94702,0.9215,0.97061,0.69587,0.91846,0.70588,0.75856,0.53812,0.85073,0.84265,0.84928,0.60666,0.000759318,0.000759318,0.000759318
57,2860.91,0.96315,0.5578,0.96187,0.05459,0.00291,0.89561,0.82208,0.87976,0.61924,0.97529,0.52891,0.98733,0.05076,0.00265,0.94473,0.94369,0.97924,0.70797,0.85257,0.70588,0.71549,0.49016,0.87995,0.79151,0.84311,0.59623,0.000742815,0.000742815,0.000742815
58,2910.29,0.95888,0.54494,0.9571,0.05601,0.00298,0.89198,0.77233,0.8745,0.63113,0.95275,0.53558,0.98834,0.05686,0.00274,0.94743,0.9215,0.97174,0.70851,0.74624,0.69261,0.70247,0.52453,0.78671,0.8027,0.82899,0.61085,0.000726312,0.000726312,0.000726312
59,2960.72,0.95656,0.54629,0.94438,0.06385,0.00294,0.94497,0.7723,0.87552,0.63603,0.9476,0.52148,0.97693,0.04639,0.00271,0.96611,0.92427,0.97942,0.71682,0.79807,0.69794,0.72222,0.53896,0.89412,0.78684,0.84591,0.62413,0.000709809,0.000709809,0.000709809
60,3010.28,0.92298,0.52091,0.93441,0.05027,0.00284,0.86281,0.82137,0.85315,0.60239,0.93414,0.52203,0.98261,0.06381,0.00285,0.95422,0.92484,0.9774,0.71947,0.79757,0.64706,0.69689,0.48494,0.87054,0.78769,0.83085,0.5977,0.000693305,0.000693305,0.000693305
61,3059.78,0.94659,0.53612,0.94499,0.05754,0.00307,0.87078,0.8286,0.88161,0.62323,0.99721,0.53947,0.99159,0.05078,0.00278,0.9574,0.92662,0.9801,0.69814,0.8542,0.69011,0.73782,0.53658,0.84599,0.83985,0.85554,0.6145,0.000676802,0.000676802,0.000676802
62,3109.45,0.95414,0.52513,0.94484,0.05954,0.00285,0.91927,0.76282,0.88886,0.64313,0.93187,0.51931,0.97768,0.06299,0.00265,0.95589,0.93345,0.98419,0.72668,0.85617,0.70066,0.71903,0.49604,0.872,0.83086,0.8419,0.60399,0.000660299,0.000660299,0.000660299
63,3159.26,0.91279,0.52517,0.92277,0.05891,0.00278,0.91724,0.7709,0.9094,0.62765,0.9546,0.52292,0.98493,0.05291,0.00274,0.94344,0.92662,0.97506,0.71304,0.84336,0.70588,0.73161,0.48738,0.86332,0.81284,0.8465,0.59476,0.000643795,0.000643795,0.000643795
64,3209.19,0.92637,0.52669,0.93208,0.05802,0.00291,0.76831,0.83502,0.86971,0.6192,0.98744,0.53919,0.9881,0.05349,0.00268,0.96765,0.91878,0.97842,0.70804,0.78819,0.65724,0.72631,0.52001,0.89505,0.77831,0.84798,0.61026,0.000627292,0.000627292,0.000627292
65,3258.68,0.92043,0.51953,0.94024,0.05349,0.00294,0.80752,0.8266,0.87113,0.63561,0.95843,0.53123,0.98323,0.04935,0.00268,0.96246,0.91638,0.97319,0.70517,0.8084,0.76471,0.73982,0.55978,0.88934,0.84611,0.85255,0.62905,0.000610789,0.000610789,0.000610789
66,3308.54,0.91747,0.51896,0.93403,0.05357,0.0029,0.9272,0.75243,0.87234,0.62231,0.97811,0.51606,0.98658,0.05178,0.00267,0.93396,0.95904,0.97937,0.71334,0.79083,0.70588,0.724,0.53574,0.83545,0.83502,0.83682,0.6137,0.000594286,0.000594286,0.000594286
67,3358.41,0.91312,0.51089,0.93381,0.0546,0.00282,0.83256,0.8084,0.86466,0.6265,0.95274,0.51417,0.98534,0.0474,0.00274,0.95756,0.93174,0.97783,0.72432,0.79538,0.76471,0.7281,0.56176,0.86273,0.83324,0.85022,0.64046,0.000577782,0.000577782,0.000577782
68,3408.34,0.91195,0.51406,0.93183,0.05722,0.00299,0.78071,0.89094,0.89294,0.63752,0.94951,0.49764,0.9699,0.04837,0.00278,0.9651,0.92833,0.98122,0.71764,0.85161,0.70588,0.73928,0.54151,0.87814,0.82159,0.84404,0.61682,0.000561279,0.000561279,0.000561279
69,3458.08,0.91556,0.51164,0.93843,0.05111,0.00271,0.79091,0.85627,0.88512,0.63224,0.96326,0.50565,0.97906,0.04344,0.00266,0.97459,0.91618,0.98141,0.7141,0.75728,0.76471,0.73415,0.5304,0.82349,0.85505,0.84518,0.61214,0.000544776,0.000544776,0.000544776
70,3507.52,0.92715,0.52757,0.94773,0.05519,0.00288,0.89258,0.79506,0.88563,0.64532,0.94036,0.50339,0.97773,0.04696,0.00286,0.95953,0.93048,0.98272,0.7187,0.85731,0.64706,0.73232,0.55124,0.82378,0.83446,0.85333,0.63127,0.000528272,0.000528272,0.000528272
71,3557.11,0.8909,0.50146,0.92519,0.04972,0.003,0.86607,0.79879,0.91319,0.65932,0.9826,0.50464,0.99175,0.04544,0.00266,0.96703,0.9215,0.97842,0.71048,0.89889,0.64706,0.77248,0.55657,0.93062,0.78428,0.86629,0.6266,0.000511769,0.000511769,0.000511769
72,3606.42,0.89914,0.49942,0.92603,0.04802,0.00275,0.81936,0.8852,0.90116,0.65549,0.96668,0.49921,0.98464,0.04625,0.00265,0.96435,0.92311,0.97913,0.71583,0.89039,0.64706,0.71124,0.52334,0.92685,0.76759,0.84237,0.61653,0.000495266,0.000495266,0.000495266
73,3656.28,0.89179,0.50717,0.9334,0.052,0.00284,0.8861,0.73778,0.87238,0.6203,0.96311,0.50249,0.98146,0.04483,0.00269,0.95431,0.9198,0.97814,0.71118,0.88455,0.64706,0.69897,0.48047,0.92463,0.77779,0.83131,0.59091,0.000478762,0.000478762,0.000478762
74,3705.62,0.88678,0.49515,0.92507,0.04807,0.00292,0.94037,0.71953,0.87996,0.65848,0.91663,0.48403,0.96855,0.04839,0.00253,0.96237,0.93686,0.98365,0.73794,0.7977,0.69643,0.74137,0.57259,0.91082,0.76249,0.85255,0.64613,0.000462259,0.000462259,0.000462259
75,3755.55,0.88342,0.49656,0.92989,0.05104,0.00268,0.9175,0.79698,0.89625,0.65162,0.96578,0.50071,0.99385,0.04372,0.00267,0.93591,0.92662,0.977,0.70953,0.85001,0.66771,0.76396,0.56564,0.8686,0.77108,0.85979,0.62991,0.000445756,0.000445756,0.000445756
76,3805.61,0.87628,0.4823,0.92447,0.05147,0.00276,0.839,0.89019,0.91707,0.67476,0.93559,0.48054,0.97874,0.04673,0.00264,0.96058,0.92833,0.98319,0.73304,0.81231,0.76383,0.78756,0.58253,0.87344,0.84812,0.87901,0.65366,0.000429253,0.000429253,0.000429253
77,3855.2,0.87556,0.48746,0.91838,0.0509,0.00275,0.85926,0.82905,0.89604,0.66014,0.93161,0.47887,0.97374,0.04412,0.00265,0.96199,0.93515,0.98051,0.727,0.8979,0.64706,0.74279,0.5445,0.93005,0.79037,0.84913,0.62755,0.000412749,0.000412749,0.000412749
78,3904.99,0.87243,0.48584,0.91983,0.05195,0.00277,0.81008,0.86102,0.89726,0.64839,0.94689,0.48571,0.97058,0.04271,0.00266,0.94754,0.93174,0.98243,0.72193,0.8135,0.64706,0.71032,0.53373,0.88977,0.77404,0.84257,0.62452,0.000396246,0.000396246,0.000396246
79,3954.34,0.87873,0.49047,0.92141,0.05126,0.00283,0.82369,0.88394,0.89887,0.66002,0.93331,0.48623,0.9689,0.04642,0.00267,0.96446,0.92617,0.97434,0.71774,0.88325,0.64706,0.7438,0.55356,0.91788,0.75817,0.85084,0.62956,0.000379743,0.000379743,0.000379743
80,4004.13,0.86801,0.4702,0.9145,0.05097,0.00279,0.94926,0.76371,0.90764,0.68571,0.91124,0.47054,0.97112,0.05415,0.00262,0.96657,0.93738,0.98105,0.73812,0.9058,0.64706,0.78276,0.57443,0.93287,0.79367,0.87695,0.65155,0.000363239,0.000363239,0.000363239
81,4054.14,0.88215,0.48387,0.92286,0.05265,0.00285,0.83885,0.84599,0.89559,0.67382,0.946,0.4877,0.97233,0.04216,0.00275,0.95161,0.93957,0.98401,0.72906,0.81083,0.64706,0.78859,0.57617,0.88769,0.76621,0.88226,0.64917,0.000346736,0.000346736,0.000346736
82,4103.5,0.85353,0.47246,0.91954,0.04982,0.00271,0.87474,0.84822,0.91024,0.67394,0.93236,0.47132,0.9702,0.04141,0.00258,0.96965,0.92683,0.98334,0.72954,0.89471,0.64706,0.79502,0.57414,0.92335,0.77063,0.88369,0.64768,0.000330233,0.000330233,0.000330233
83,4153.28,0.86162,0.46769,0.91987,0.0538,0.00279,0.77793,0.92032,0.90591,0.64743,0.94769,0.48137,0.97951,0.0406,0.00267,0.95164,0.94027,0.97684,0.72329,0.89779,0.64706,0.81233,0.55461,0.92859,0.77241,0.89018,0.63569,0.000313729,0.000313729,0.000313729
84,4202.68,0.85567,0.4795,0.91762,0.05002,0.00283,0.87144,0.85515,0.90592,0.66339,0.94098,0.48484,0.96953,0.04455,0.00261,0.96586,0.91719,0.98234,0.72336,0.82529,0.64706,0.78968,0.57072,0.89842,0.77489,0.88318,0.64453,0.000297226,0.000297226,0.000297226
85,4252.48,0.8574,0.47417,0.91642,0.04442,0.00285,0.8538,0.88553,0.91843,0.68557,0.92351,0.46717,0.9658,0.04038,0.00262,0.96961,0.93174,0.98398,0.72822,0.75156,0.76471,0.80567,0.60361,0.82792,0.85164,0.89154,0.66261,0.000280723,0.000280723,0.000280723
86,4301.79,0.8586,0.46936,0.9144,0.04527,0.00287,0.90376,0.84534,0.92704,0.68997,0.91332,0.45054,0.96025,0.04105,0.00256,0.95873,0.94539,0.98663,0.73739,0.90699,0.64706,0.82016,0.59596,0.94351,0.77831,0.90104,0.66434,0.00026422,0.00026422,0.00026422
87,4351.02,0.87253,0.46591,0.91755,0.04961,0.00269,0.85415,0.8542,0.91875,0.68175,0.92599,0.45827,0.96631,0.04021,0.00258,0.95313,0.94369,0.98131,0.73217,0.90236,0.64706,0.79999,0.5788,0.93584,0.77391,0.88747,0.65293,0.000247716,0.000247716,0.000247716
88,4400.64,0.85382,0.46292,0.91403,0.05158,0.00282,0.84033,0.93264,0.9283,0.68069,0.92373,0.45592,0.96035,0.04446,0.00264,0.95851,0.94369,0.98575,0.74031,0.90233,0.64706,0.78042,0.55203,0.93202,0.78172,0.88203,0.64471,0.000231213,0.000231213,0.000231213
89,4450.19,0.84526,0.45681,0.91227,0.04957,0.00281,0.88553,0.86585,0.92974,0.69127,0.92057,0.45384,0.96045,0.0428,0.00259,0.94774,0.94539,0.98433,0.73628,0.83056,0.64706,0.79193,0.57376,0.8389,0.82564,0.88718,0.6538,0.00021471,0.00021471,0.00021471
90,4499.79,0.81972,0.45351,0.90334,0.04701,0.00278,0.87367,0.88501,0.9274,0.69341,0.90106,0.45473,0.95952,0.04041,0.00255,0.95299,0.93857,0.98184,0.73762,0.79797,0.69754,0.8066,0.5607,0.87474,0.81838,0.89169,0.64706,0.000198206,0.000198206,0.000198206
91,4561.31,0.80531,0.41761,0.90262,0.04291,0.00171,0.83985,0.90498,0.91359,0.68024,0.93387,0.47635,0.96795,0.04544,0.00259,0.95733,0.91897,0.98057,0.72447,0.79896,0.70161,0.77389,0.53913,0.85155,0.81323,0.86944,0.62592,0.000181703,0.000181703,0.000181703
92,4610.71,0.80775,0.42514,0.90606,0.04092,0.00167,0.8549,0.91387,0.93022,0.69289,0.91246,0.46235,0.96282,0.05605,0.00261,0.96301,0.93294,0.97782,0.73201,0.85646,0.70225,0.83698,0.59541,0.88073,0.81358,0.90029,0.658,0.0001652,0.0001652,0.0001652
93,4660.09,0.78566,0.40876,0.9027,0.0388,0.00172,0.83807,0.91389,0.92123,0.69632,0.90949,0.45758,0.95985,0.04986,0.00258,0.96463,0.93083,0.9801,0.73715,0.79677,0.70588,0.82941,0.60284,0.85707,0.81796,0.89816,0.66468,0.000148696,0.000148696,0.000148696
94,4709.69,0.78666,0.41825,0.89838,0.03747,0.00176,0.85198,0.88702,0.92561,0.70022,0.9203,0.46329,0.96005,0.04324,0.00264,0.96313,0.93619,0.97822,0.73754,0.79709,0.70588,0.84625,0.60009,0.84925,0.82263,0.90677,0.66457,0.000132193,0.000132193,0.000132193
95,4757.43,0.76617,0.39663,0.89826,0.03675,0.00173,0.86295,0.85505,0.92213,0.68604,0.89705,0.4554,0.957,0.04893,0.00263,0.96985,0.93323,0.98053,0.73964,0.91365,0.58824,0.82329,0.5701,0.8631,0.78921,0.89756,0.65138,0.00011569,0.00011569,0.00011569
96,4804.81,0.76946,0.39943,0.88938,0.03715,0.00174,0.88207,0.84306,0.92505,0.69098,0.90196,0.45008,0.96145,0.04613,0.00257,0.95424,0.94881,0.98069,0.7397,0.72189,0.70588,0.79679,0.57116,0.86841,0.7819,0.88527,0.65255,9.91865e-05,9.91865e-05,9.91865e-05
97,4852.83,0.77624,0.40531,0.90099,0.03669,0.00173,0.85591,0.85651,0.92256,0.7041,0.91411,0.45454,0.96594,0.0436,0.00261,0.96344,0.94442,0.98569,0.74017,0.77639,0.64706,0.81115,0.58699,0.8484,0.78599,0.89248,0.659,8.26832e-05,8.26832e-05,8.26832e-05
98,4900.63,0.76224,0.39475,0.89401,0.03678,0.00174,0.86052,0.88299,0.92669,0.71132,0.91292,0.45362,0.96488,0.04517,0.00261,0.96149,0.93737,0.98066,0.74439,0.79934,0.70316,0.83506,0.59433,0.84755,0.82318,0.90291,0.66543,6.61799e-05,6.61799e-05,6.61799e-05
99,4950.82,0.76904,0.44796,0.89718,0.03633,0.00169,0.86453,0.88446,0.9257,0.71063,0.9035,0.4504,0.96098,0.0456,0.00259,0.96622,0.92728,0.97892,0.74763,0.7112,0.76471,0.82615,0.59662,0.80138,0.85865,0.89783,0.6684,4.96766e-05,4.96766e-05,4.96766e-05
100,4998.87,0.75493,0.38666,0.89339,0.03598,0.00166,0.86402,0.88873,0.92585,0.70993,0.91907,0.45383,0.96219,0.04537,0.00258,0.95204,0.94852,0.98039,0.73641,0.75503,0.726,0.83201,0.59646,0.82877,0.85544,0.90119,0.66258,3.31733e-05,3.31733e-05,3.31733e-05
